date,open,high,low,close,volume
2025-07-10,17.0,17.7,16.8,17.6,116686529
2025-07-11,17.7,17.88,17.38,17.58,85224766
2025-07-14,17.44,18.08,17.4,17.98,80334883
2025-07-15,18.12,18.5,17.96,18.24,80933128
2025-07-16,18.5,18.76,18.24,18.26,87042911
2025-07-17,18.44,19.18,18.24,19.02,127668323
2025-07-18,19.3,19.38,18.64,18.92,59653620
2025-07-21,18.56,18.82,18.14,18.44,95951443
2025-07-22,18.44,18.8,18.28,18.8,53275966
2025-07-23,18.98,19.06,18.72,18.9,55913626
2025-07-24,18.9,19.24,18.86,19.14,55652142
2025-07-25,19.06,19.72,18.9,19.46,78616576
2025-07-28,19.2,19.48,18.92,19.08,54958944
2025-07-29,18.94,19.14,18.76,19.14,47502919
2025-07-30,19.0,19.0,18.28,18.34,92077883
2025-07-31,18.18,18.24,17.52,17.68,80812259
2025-08-01,17.62,17.84,17.54,17.66,48514712
2025-08-04,17.61,18.1,17.41,18.1,65663339
2025-08-05,18.04,18.3,18.0,18.18,44977551
2025-08-06,18.16,18.5,18.03,18.38,43012533
2025-08-07,18.54,18.59,18.29,18.41,36485643
2025-08-08,18.22,18.49,18.2,18.41,29242016
2025-08-11,18.5,19.11,18.5,18.87,67940325
2025-08-12,19.01,19.51,18.86,19.28,80162963
2025-08-13,19.32,19.44,18.91,19.3,64632641
2025-08-14,19.5,19.7,18.61,18.95,102157985
2025-08-15,18.79,19.24,17.83,19.24,133695728
2025-08-18,19.2,20.18,18.85,19.81,130312934
2025-08-19,19.99,20.58,19.59,20.44,116054833
2025-08-20,20.1,20.3,19.84,20.06,67433781
2025-08-21,20.12,20.28,19.68,19.83,53328521
2025-08-22,20.08,20.18,19.7,19.98,58605143
2025-08-25,20.46,20.78,19.53,19.71,109330004
2025-08-26,19.66,19.68,19.29,19.39,65575050
2025-08-27,19.56,19.75,19.12,19.21,56944384
2025-08-28,19.25,19.34,18.84,19.22,54073518
2025-08-29,19.24,19.87,19.04,19.56,75666127
2025-09-01,19.85,20.12,19.0,19.12,102737694
2025-09-02,19.22,19.4,18.75,18.87,53789125
2025-09-03,18.8,19.25,18.68,18.73,56114426
2025-09-04,18.83,18.85,18.2,18.31,87589890
2025-09-05,18.24,18.95,18.24,18.68,76264370
2025-09-08,18.89,18.9,18.26,18.31,74133034
2025-09-09,18.38,19.25,18.38,18.92,88868287
2025-09-10,18.99,19.2,18.82,18.89,54122503
2025-09-11,18.8,18.8,18.56,18.65,50711327
2025-09-12,18.8,18.82,18.4,18.44,61770479
2025-09-15,18.41,18.64,18.21,18.46,53439993
2025-09-16,18.6,19.23,18.51,19.05,83632509
2025-09-17,19.2,19.84,19.13,19.75,103241409
2025-09-18,19.8,19.83,18.5,18.81,150635091
2025-09-19,18.81,19.03,18.64,19.0,56614235
2025-09-22,18.96,18.96,18.56,18.69,38892460
2025-09-23,18.68,18.94,18.11,18.24,65603995
2025-09-24,18.13,18.32,17.98,18.2,59114740
2025-09-25,18.34,18.65,18.25,18.45,48323735
2025-09-26,18.4,18.74,18.14,18.23,51359309
2025-09-29,18.27,18.68,18.08,18.63,55469354
2025-09-30,18.71,19.55,18.71,19.55,138423793
2025-10-02,19.6,19.87,19.55,19.74,51712231
2025-10-03,19.74,19.74,19.04,19.37,32201047
2025-10-06,19.11,19.25,18.88,19.03,19272216
2025-10-08,19.01,19.74,19.01,19.67,49197481
2025-10-09,19.71,19.98,19.22,19.75,75717256
2025-10-10,19.5,19.5,18.93,19.05,68436585
2025-10-13,18.3,18.93,18.3,18.91,93225639
2025-10-14,18.93,19.5,18.32,18.41,95574974
2025-10-15,18.46,19.33,18.46,19.17,74462242
2025-10-16,19.01,19.59,19.01,19.25,58057327
2025-10-17,19.2,19.2,18.28,18.38,78848933
2025-10-20,18.93,19.41,18.69,19.18,66548849
2025-10-21,19.33,20.0,19.25,19.8,131602308
2025-10-22,19.61,19.73,19.32,19.52,49509720
2025-10-23,19.38,19.5,18.92,19.43,44462697
2025-10-24,19.6,19.76,19.4,19.52,32237129
2025-10-27,19.68,19.85,19.11,19.13,48317286
2025-10-28,19.3,19.3,18.84,18.92,44698195
2025-10-30,19.1,19.27,18.65,18.77,49685274
2025-10-31,18.77,18.77,18.4,18.4,59459369
2025-11-03,18.5,18.62,17.6,17.77,142029248
2025-11-04,17.71,17.83,17.32,17.56,86988212
2025-11-05,17.25,17.51,17.09,17.51,49312941
2025-11-06,17.6,18.09,17.48,17.88,50241611
2025-11-07,17.83,18.03,17.63,17.69,30713634
2025-11-10,17.73,17.96,17.29,17.88,46688096
2025-11-11,17.98,18.4,17.88,18.12,48904981
2025-11-12,18.28,18.29,17.65,17.67,44801563
2025-11-13,17.39,17.79,17.31,17.75,54798423
2025-11-14,17.53,17.81,17.47,17.53,38366932
2025-11-17,17.48,17.58,17.11,17.2,61553388
2025-11-18,17.06,17.44,16.83,17.0,87864050
2025-11-19,17.21,17.39,17.03,17.04,46308210
2025-11-20,17.16,17.19,16.84,17.01,43175507
2025-11-21,16.8,16.9,16.51,16.71,73586447
2025-11-24,16.75,16.9,16.47,16.75,70844325
2025-11-25,16.81,17.02,16.62,16.72,35513692
2025-11-26,16.88,16.99,16.78,16.82,36497472
2025-11-27,16.9,17.12,16.8,17.0,45623518
2025-11-28,16.98,17.08,16.88,16.94,32415620
2025-12-01,17.0,17.3,16.91,17.06,51467024
2025-12-02,17.11,17.26,16.96,17.16,60700345
2025-12-03,17.05,17.14,16.81,16.9,63836239
2025-12-04,17.0,17.46,16.71,17.43,62670159
2025-12-05,17.34,17.44,17.24,17.37,41824820
2025-12-08,17.4,17.93,17.38,17.68,39585032
2025-12-09,17.68,17.92,17.4,17.51,28503989
2025-12-10,17.5,17.83,17.44,17.68,29865114
2025-12-11,17.65,17.75,17.29,17.33,25970015
2025-12-12,17.48,17.83,17.27,17.77,36054840
2025-12-15,17.61,17.76,17.16,17.21,30015913
2025-12-16,17.15,17.2,16.71,16.81,39686500
2025-12-17,17.0,17.07,16.55,16.56,56562017
2025-12-18,16.56,16.81,16.26,16.79,47412409
2025-12-19,16.83,17.05,16.57,16.96,45832473
2025-12-22,16.96,17.18,16.82,16.93,30927993
2025-12-23,17.16,17.26,16.88,16.96,20073508
2025-12-24,16.95,17.05,16.87,16.92,12211639
2025-12-29,17.48,17.94,17.36,17.5,80161761
2025-12-30,17.55,18.06,17.44,18.02,68502362
2025-12-31,17.97,18.57,17.85,17.9,38392753
2026-01-02,17.9,18.35,17.7,18.2,26322533
2026-01-05,17.98,18.06,17.51,17.6,59457614
2026-01-06,17.71,17.85,17.57,17.83,38998520
2026-01-07,17.83,17.83,17.37,17.51,39092969
2026-01-08,17.31,17.39,17.16,17.39,34943517
2026-01-09,17.39,17.49,17.17,17.19,28993611
2026-01-12,17.16,17.24,16.62,16.92,105770471
2026-01-13,17.22,17.34,16.98,17.17,56114965
2026-01-14,17.17,17.41,16.97,17.0,68477269
